City,Climate,HousingCost,HlthCare,Crime,Transp,Educ,Arts,Recreat,Econ,CaseNum,Long,Lat,Pop,StNum
"Abilene,TX",521.0,6200.0,237.0,923.0,4031.0,2757.0,996.0,1405.0,7633.0,1.0,-99.689,32.559,110932.0,44.0
"Akron,OH",575.0,8138.0,1656.0,886.0,4883.0,2438.0,5564.0,2632.0,4350.0,2.0,-81.518,41.085,660328.0,36.0
"Albany,GA",468.0,7339.0,618.0,970.0,2531.0,2560.0,237.0,859.0,5250.0,3.0,-84.158,31.575,112402.0,11.0
"Albany-Schenectady-Troy,NY",476.0,7908.0,1431.0,610.0,6883.0,3399.0,4655.0,1617.0,5864.0,4.0,-73.7983,42.7327,835880.0,35.0
"Albuquerque,NM",659.0,8393.0,1853.0,1483.0,6558.0,3026.0,4496.0,2612.0,5727.0,5.0,-106.65,35.083,419700.0,33.0
"Alexandria,LA",520.0,5819.0,640.0,727.0,2444.0,2972.0,334.0,1018.0,5254.0,6.0,-92.453,31.302,135282.0,19.0
"Allentown,Bethlehem,PA-NJ",559.0,8288.0,621.0,514.0,2881.0,3144.0,2333.0,1117.0,5097.0,7.0,-75.4405,40.6155,635481.0,39.0
"Alton,Granite-City,IL",537.0,6487.0,965.0,706.0,4975.0,2945.0,1487.0,1280.0,5795.0,8.0,-90.1615,38.794,268229.0,15.0
"Altoona,PA",561.0,6191.0,432.0,399.0,4246.0,2778.0,256.0,1210.0,4230.0,9.0,-78.395,40.515,136621.0,39.0
"Amarillo,TX",609.0,6546.0,669.0,1073.0,4902.0,2852.0,1235.0,1109.0,6241.0,10.0,-101.849,35.383,173699.0,44.0
"Anaheim-Santa-Ana,CA",885.0,16047.0,2025.0,983.0,3954.0,2843.0,5632.0,3156.0,6220.0,11.0,-117.889,33.799,1932709.0,5.0
"Anchorage,AK",195.0,12175.0,601.0,1223.0,5091.0,2414.0,2346.0,3000.0,7668.0,12.0,-127.2016,48.88046,174431.0,1.0
"Anderson,IN",530.0,5704.0,580.0,878.0,2865.0,2469.0,430.0,838.0,3370.0,13.0,-85.685,40.167,139336.0,16.0
"Anderson,SC",591.0,5725.0,820.0,975.0,2707.0,2772.0,169.0,613.0,4262.0,14.0,-82.655,34.51,133235.0,41.0
"Ann-Arbor,MI",546.0,11014.0,2508.0,1067.0,3433.0,3346.0,7559.0,2288.0,4579.0,15.0,-83.75,42.283,264748.0,23.0
"Anniston,AL",560.0,5530.0,598.0,1125.0,3051.0,2189.0,268.0,1165.0,4730.0,16.0,-85.827,33.655,119761.0,2.0
"Appleton-Oshkosh-Neenah,WI",396.0,7877.0,833.0,525.0,3298.0,2844.0,1166.0,2315.0,5275.0,17.0,-88.4673,44.158,291369.0,49.0
"Asheville,NC",694.0,6722.0,1204.0,566.0,5086.0,2990.0,1391.0,1542.0,5196.0,18.0,-82.557,35.593,160934.0,28.0
"Athens,GA",601.0,6691.0,605.0,933.0,1866.0,2646.0,3546.0,1001.0,5193.0,19.0,-83.383,33.957,130015.0,11.0
"Atlanta,GA",696.0,8316.0,3195.0,1308.0,8409.0,3057.0,7559.0,1362.0,6315.0,20.0,-84.319,33.763,2138231.0,11.0
"Atlantic-City,NJ",615.0,11074.0,637.0,1878.0,3556.0,2929.0,621.0,2711.0,8107.0,21.0,-74.438,39.367,276385.0,32.0
"Augusta,GA-SC",534.0,6292.0,1798.0,872.0,2523.0,2915.0,1047.0,913.0,5431.0,22.0,-81.967,33.47,345918.0,11.0
"Aurora-Elgin,IL",474.0,10384.0,1203.0,821.0,3943.0,2208.0,3857.0,1800.0,5097.0,23.0,-88.2805,41.8935,315607.0,15.0
"Austin,TX",435.0,8831.0,782.0,1049.0,3670.0,3063.0,5355.0,1063.0,7439.0,24.0,-97.742,30.282,536688.0,44.0
"Bakersfield,CA",560.0,8068.0,420.0,1561.0,3725.0,2564.0,1222.0,1568.0,6056.0,25.0,-119.022,35.375,403089.0,5.0
"Baltimore,MD",567.0,9148.0,3562.0,1730.0,7405.0,3471.0,9788.0,2925.0,5503.0,26.0,-76.617,39.288,2199531.0,21.0
"Bangor,ME",451.0,7277.0,780.0,651.0,5613.0,2934.0,1995.0,2148.0,5172.0,27.0,-68.772,44.802,83919.0,22.0
"Baton-Rouge,LA",427.0,8083.0,342.0,1565.0,3329.0,2635.0,4237.0,1413.0,6308.0,28.0,-91.185,30.45,494151.0,19.0
"Battle-Creek,MI",527.0,6342.0,900.0,1031.0,4652.0,2483.0,354.0,1648.0,4008.0,29.0,-85.182,42.322,141557.0,23.0
"Beaumont-Port-Arthur,TX",423.0,6288.0,616.0,1313.0,2782.0,2745.0,1795.0,1813.0,6019.0,30.0,-94.0125,29.991,375497.0,44.0
"Beaver-County,PA",586.0,7866.0,861.0,310.0,2960.0,2535.0,1284.0,1480.0,3119.0,31.0,-80.315,40.693,204441.0,39.0
"Bellingham,WA",772.0,8329.0,240.0,825.0,3776.0,2778.0,1302.0,3200.0,4247.0,32.0,-122.483,48.763,106701.0,48.0
"Benton-Harbor,MI",566.0,6761.0,570.0,1190.0,2989.0,2545.0,79.0,1477.0,3635.0,33.0,-86.447,42.105,171276.0,23.0
"Bergen-Passaic,NJ",559.0,14607.0,2661.0,857.0,3511.0,3653.0,9304.0,1918.0,6016.0,34.0,-74.059,40.891,1292970.0,32.0
"Billings,MT",452.0,8315.0,479.0,810.0,6285.0,3008.0,778.0,2046.0,5913.0,35.0,-108.505,45.78,108035.0,27.0
"Biloxi-Gulfport,MS",584.0,6458.0,441.0,810.0,2516.0,2592.0,679.0,2106.0,5801.0,36.0,-88.9695,30.3975,182202.0,26.0
"Binghampton,NY",550.0,8257.0,1007.0,415.0,4529.0,3052.0,1599.0,1722.0,5614.0,37.0,-75.913,42.098,263460.0,35.0
"Birmingham,AL",612.0,6811.0,1692.0,1123.0,5177.0,2851.0,3958.0,1234.0,4843.0,38.0,-86.807,33.512,883946.0,2.0
"Bismarck,ND",149.0,8365.0,804.0,413.0,4303.0,2686.0,1211.0,1630.0,6019.0,39.0,-100.778,46.807,79988.0,29.0
"Bloomington,IN",558.0,7056.0,731.0,657.0,1746.0,2873.0,2152.0,1990.0,4829.0,40.0,-86.528,39.165,98785.0,16.0
"Bloomington-Normal,IL",487.0,8654.0,815.0,673.0,5889.0,2854.0,1470.0,1605.0,5863.0,41.0,-88.99,40.495,119149.0,15.0
"Boise-City,ID",592.0,8221.0,453.0,880.0,6575.0,2391.0,2385.0,1672.0,4633.0,42.0,-116.218,43.613,173036.0,14.0
"Boston,MA",623.0,11609.0,5301.0,1215.0,6801.0,3479.0,21042.0,3066.0,6363.0,43.0,-71.058,42.362,2805911.0,20.0
"Boulder-Longmont,CO",459.0,11914.0,962.0,1088.0,7108.0,2587.0,3663.0,4012.0,7127.0,44.0,-105.193,40.0915,189625.0,6.0
"Bradenton,FL",440.0,8242.0,333.0,1093.0,3805.0,2712.0,154.0,1349.0,7437.0,45.0,-82.572,27.495,148442.0,10.0
"Brazoria,TX",423.0,8394.0,438.0,768.0,2391.0,2718.0,1506.0,1512.0,6020.0,46.0,-95.57,29.043,169587.0,44.0
"Bremerton,WA",808.0,9060.0,310.0,651.0,1670.0,2544.0,382.0,1973.0,5671.0,47.0,-122.63,47.567,147152.0,48.0
"Bridgeport-Milford,CT",648.0,13429.0,2550.0,943.0,3197.0,3029.0,8368.0,1913.0,7197.0,48.0,-73.1265,41.2075,438557.0,7.0
"Bristol,CT",516.0,10041.0,975.0,545.0,4495.0,2628.0,514.0,777.0,6527.0,49.0,-72.95,41.673,73762.0,7.0
"Brockton,MA",575.0,8263.0,916.0,1336.0,3810.0,2729.0,2001.0,1217.0,6900.0,50.0,-71.017,42.085,182891.0,20.0
"Brownsville-Harlington,TX",440.0,5376.0,91.0,974.0,3119.0,2413.0,162.0,3000.0,4968.0,51.0,-97.482,25.919,209727.0,44.0
"Bryan-College-Station,TX",383.0,8228.0,640.0,1016.0,2530.0,2973.0,2002.0,1413.0,8040.0,52.0,-96.3575,30.644,93588.0,44.0
"Buffalo,NY",571.0,8064.0,2465.0,971.0,5384.0,3121.0,8567.0,2441.0,5047.0,53.0,-78.875,42.887,1015472.0,35.0
"Burlington,NC",637.0,6179.0,994.0,707.0,1910.0,2519.0,131.0,701.0,5680.0,54.0,-79.433,36.097,99319.0,28.0
"Burlington,VT",383.0,9673.0,1809.0,494.0,7146.0,3323.0,1741.0,3357.0,6726.0,55.0,-73.207,44.475,115308.0,47.0
"Canton,OH",575.0,7332.0,443.0,650.0,4279.0,2754.0,989.0,1157.0,4847.0,56.0,-81.378,40.798,404421.0,36.0
"Casper,WY",401.0,9839.0,345.0,989.0,4410.0,2453.0,303.0,1435.0,6303.0,57.0,-106.313,42.847,71856.0,51.0
"Cedar-Rapids,IA",434.0,7774.0,837.0,714.0,5270.0,2619.0,904.0,1501.0,5009.0,58.0,-91.673,41.975,169775.0,13.0
"Champaign-Urbana-Rantoul,IL",525.0,8627.0,672.0,1022.0,7447.0,3147.0,2203.0,1700.0,5485.0,59.0,-88.1983,40.1817,168392.0,15.0
"Charleston,SC",569.0,7402.0,1463.0,1495.0,4207.0,3164.0,2993.0,2561.0,5153.0,60.0,-79.93,32.763,430462.0,41.0
"Charleston,WV",627.0,7789.0,708.0,721.0,5470.0,2894.0,2605.0,844.0,5257.0,61.0,-81.645,38.368,269595.0,50.0
"Charlotte-Gastonia-Rock-Hill,NC-SC",644.0,7169.0,999.0,1273.0,6099.0,3031.0,4313.0,1236.0,5671.0,62.0,-81.0173,35.137,971391.0,28.0
"Charlottesville,VA",618.0,9531.0,1348.0,756.0,6041.0,3489.0,1422.0,1704.0,6055.0,63.0,-78.507,38.038,113568.0,46.0
"Chattanooga,TN-GA",576.0,6189.0,564.0,946.0,3401.0,2415.0,2483.0,1238.0,4487.0,64.0,-85.31,35.043,426540.0,43.0
"Chicago,IL",514.0,10913.0,5766.0,1034.0,7742.0,3486.0,24846.0,2856.0,5205.0,65.0,-87.625,41.883,6060387.0,15.0
"Chico,CA",603.0,8587.0,243.0,947.0,4067.0,3126.0,1647.0,1543.0,5307.0,66.0,-121.838,39.732,143851.0,5.0
"Cincinnati,OH-KY-IN",584.0,8143.0,2138.0,978.0,5748.0,2918.0,9688.0,2451.0,5270.0,67.0,-84.513,39.1,1401491.0,36.0
"Clarksville-Hopkinsville,TN-KY",544.0,6007.0,446.0,736.0,2226.0,2654.0,111.0,2219.0,4880.0,68.0,-87.418,36.6945,150220.0,43.0
"Cleveland,OH",579.0,9168.0,3167.0,1138.0,7333.0,2972.0,12679.0,3300.0,4879.0,69.0,-81.7,41.497,1898825.0,36.0
"Colorado-Springs,CO",526.0,8509.0,721.0,1086.0,3389.0,2754.0,1749.0,2375.0,7699.0,70.0,-104.82,38.833,309424.0,6.0
"Columbia,MO",541.0,7702.0,1951.0,1065.0,3893.0,2377.0,2882.0,1331.0,5147.0,71.0,-92.33,38.957,100376.0,25.0
"Columbia,SC",526.0,7519.0,1421.0,1524.0,5859.0,2908.0,2489.0,1484.0,5279.0,72.0,-81.045,33.993,410088.0,41.0
"Columbus,GA-AL",517.0,5817.0,833.0,820.0,2995.0,2665.0,1861.0,1214.0,4812.0,73.0,-84.982,32.462,239196.0,11.0
"Columbus,OH",558.0,8093.0,1837.0,1092.0,4364.0,2928.0,6648.0,2020.0,5165.0,74.0,-83.002,39.962,1243833.0,36.0
"Corpus-Christi,TX",362.0,6929.0,458.0,1335.0,3626.0,2840.0,1992.0,2037.0,6690.0,75.0,-97.621,27.776,326228.0,44.0
"Cumberland,MD-WV",591.0,6054.0,760.0,337.0,3709.0,3363.0,373.0,1036.0,4741.0,76.0,-78.763,39.65,107782.0,21.0
"Dallas,TX",544.0,9318.0,2825.0,1529.0,6213.0,3269.0,10438.0,2310.0,7710.0,77.0,-96.812,32.777,1957378.0,44.0
"Danbury,CT",569.0,14420.0,2350.0,548.0,2715.0,3029.0,7415.0,1572.0,7060.0,78.0,-73.46,41.393,170369.0,7.0
"Danville,VA",545.0,5709.0,593.0,379.0,3161.0,2943.0,85.0,501.0,4491.0,79.0,-79.388,36.592,111789.0,46.0
"Davenport-Rock-Island-Moline,IA-IL",440.0,8083.0,1113.0,834.0,3907.0,2901.0,1017.0,1920.0,4997.0,80.0,-90.5493,41.5057,383958.0,15.0
"Dayton-Springfield,OH",544.0,7635.0,2253.0,1151.0,4775.0,2772.0,6935.0,1122.0,4532.0,81.0,-84.0025,39.8385,942083.0,36.0
"Daytona-Beach,FL",561.0,7203.0,723.0,1347.0,4117.0,2612.0,809.0,3967.0,6592.0,82.0,-81.023,29.215,258762.0,10.0
"Decatur,IL",480.0,7395.0,732.0,897.0,3867.0,2683.0,298.0,1222.0,4274.0,83.0,-88.953,39.843,131375.0,15.0
"Denver,CO",521.0,10789.0,2533.0,1365.0,8145.0,3145.0,8477.0,2324.0,7164.0,84.0,-104.988,39.74,1428836.0,6.0
"Des-Moines,IA",444.0,8028.0,1256.0,1044.0,5521.0,2613.0,1857.0,1802.0,5346.0,85.0,-93.618,41.587,367561.0,13.0
"Detroit,MI",536.0,8525.0,4142.0,1587.0,4808.0,3064.0,10389.0,2483.0,3904.0,86.0,-83.128,42.442,4488072.0,23.0
"Dothgan,AL",336.0,5708.0,593.0,930.0,2232.0,2230.0,117.0,714.0,5453.0,87.0,-85.393,31.223,122453.0,2.0
"Dubuque,IA",419.0,7993.0,640.0,571.0,3668.0,2701.0,340.0,1587.0,3949.0,88.0,-90.675,42.503,93745.0,13.0
"Duluth,MN-WI",193.0,6040.0,1159.0,488.0,5205.0,2619.0,2377.0,3107.0,3922.0,89.0,-92.113,46.783,266650.0,24.0
"East-St.-Louis-Belleville,IL",537.0,6501.0,444.0,1096.0,6539.0,2630.0,904.0,1610.0,6113.0,90.0,-89.983,38.512,300148.0,15.0
"Eau-Claire,WI",257.0,7078.0,798.0,433.0,3197.0,2960.0,1807.0,1397.0,5348.0,91.0,-91.471,44.866,130932.0,49.0
"El-Paso,TX",592.0,7343.0,528.0,1323.0,3705.0,2479.0,3800.0,1101.0,5080.0,92.0,-106.48,31.755,479899.0,44.0
"Elkhart-Goshen,IN",521.0,6573.0,596.0,524.0,4168.0,2537.0,353.0,1023.0,4214.0,93.0,-85.9015,41.6385,137330.0,16.0
"Elmira,NY",467.0,7078.0,562.0,582.0,3324.0,3000.0,1048.0,1600.0,4813.0,94.0,-76.807,42.093,97656.0,35.0
"Enid,OK",461.0,6829.0,626.0,845.0,2312.0,2764.0,215.0,1200.0,8268.0,95.0,-97.875,36.395,62820.0,37.0
"Erie,PA",605.0,7715.0,529.0,635.0,5754.0,2641.0,2032.0,1340.0,4299.0,96.0,-80.073,42.113,279780.0,39.0
"Eugene-Springfield,OR",741.0,9370.0,539.0,874.0,5293.0,3118.0,2631.0,3400.0,3045.0,97.0,-122.981,43.952,275226.0,38.0
"Evansville,IN-KY",550.0,6743.0,783.0,864.0,3496.0,2797.0,1876.0,1622.0,5206.0,98.0,-87.575,37.97,276252.0,16.0
"Fall-River,MA-RI",643.0,9017.0,900.0,861.0,4602.0,2439.0,749.0,2005.0,4884.0,99.0,-71.101,41.794,157222.0,20.0
"Fargo-Moorhead,ND-MN",148.0,8168.0,920.0,503.0,6325.0,2506.0,2111.0,1414.0,5594.0,100.0,-96.777,46.8765,137574.0,29.0
"Fayetteville,NC",561.0,6274.0,872.0,1150.0,4402.0,3051.0,844.0,709.0,5255.0,101.0,-78.877,35.055,247160.0,28.0
"Fayettteville-Sprindale,AR",549.0,6686.0,594.0,545.0,3581.0,2334.0,1915.0,1695.0,4631.0,102.0,-94.1505,36.146,100494.0,3.0
"Fitchburg-Leominster,MA",507.0,8252.0,655.0,655.0,2244.0,2799.0,270.0,790.0,5098.0,103.0,-71.7775,42.555,94018.0,20.0
"Flint,MI",540.0,7204.0,724.0,1671.0,4912.0,2511.0,2163.0,1355.0,3724.0,104.0,-83.683,43.022,450449.0,23.0
"Florence,AL",546.0,5962.0,607.0,516.0,1454.0,2427.0,1021.0,994.0,4492.0,105.0,-87.675,34.8,135065.0,2.0
"Florence,SC",552.0,6508.0,818.0,1334.0,4963.0,3109.0,628.0,800.0,4842.0,106.0,-79.768,34.197,110163.0,41.0
"Fort-Collins-Lover=land,CO",490.0,9951.0,731.0,744.0,2637.0,2413.0,1609.0,4200.0,6631.0,107.0,-105.08,40.49,149184.0,6.0
"Fort-Lauderdale-Hollywood-Pompano-Beach,FL",572.0,10810.0,1252.0,1536.0,4186.0,2734.0,2027.0,2455.0,7136.0,108.0,-80.1373,26.121,1018200.0,10.0
"Fort-Myers,FL",342.0,9298.0,546.0,787.0,4583.0,2729.0,380.0,4005.0,7166.0,109.0,-81.873,26.642,205266.0,10.0
"Fort-Pierce,FL",602.0,8842.0,527.0,1422.0,2143.0,3154.0,368.0,2058.0,7973.0,110.0,-80.327,27.447,151196.0,10.0
"Fort-Smith,AR-OK",482.0,5784.0,466.0,663.0,3092.0,2927.0,145.0,1736.0,4849.0,111.0,-94.418,35.385,162813.0,3.0
"Fort-Walton-Beach,FL",536.0,7554.0,484.0,544.0,2886.0,2809.0,87.0,2092.0,6342.0,112.0,-86.651,30.762,109920.0,10.0
"Fort-Wayne,IN",509.0,6733.0,1060.0,710.0,5416.0,2772.0,2846.0,1711.0,4195.0,113.0,-85.142,41.072,354156.0,16.0
"Forth-Arlington,TX",528.0,7956.0,1038.0,1348.0,4472.0,2627.0,6466.0,2366.0,6862.0,114.0,-97.113,32.737,973138.0,44.0
"Fresno,CA",559.0,9291.0,369.0,1483.0,4388.0,2407.0,3596.0,2984.0,5746.0,115.0,-119.783,36.732,514621.0,5.0
"Gadsden,AL",526.0,5382.0,622.0,749.0,2174.0,2299.0,153.0,300.0,4220.0,116.0,-86.018,34.018,103057.0,2.0
"Gainesville,FL",402.0,7388.0,1731.0,1658.0,3527.0,3094.0,3335.0,1237.0,5739.0,117.0,-82.33,29.66,171371.0,10.0
"Galveston-Texas-City,TX",727.0,7767.0,1437.0,1213.0,3423.0,2809.0,1756.0,3000.0,6026.0,118.0,-94.844,29.3475,195940.0,44.0
"Gary-Hammond,IN",483.0,7641.0,1364.0,996.0,5855.0,2526.0,4115.0,1940.0,3826.0,119.0,-87.419,41.615,642781.0,16.0
"Glens-Falls,NY",476.0,7120.0,43.0,568.0,2241.0,2674.0,603.0,1883.0,5166.0,120.0,-73.645,43.31,109649.0,35.0
"Grand-Forks,ND",105.0,7898.0,1109.0,401.0,5587.0,2721.0,1921.0,1304.0,5646.0,121.0,-97.037,47.92,66100.0,29.0
"Grand-Rapids,MI",513.0,7780.0,1274.0,952.0,3454.0,2705.0,3255.0,1909.0,4848.0,122.0,-85.67,42.963,601680.0,23.0
"Great-Falls,MT",410.0,7143.0,667.0,792.0,3747.0,2737.0,401.0,2176.0,4697.0,123.0,-111.285,47.502,80696.0,27.0
"Greeley,CO",490.0,8218.0,706.0,994.0,1641.0,2854.0,1254.0,739.0,5443.0,124.0,-104.693,40.418,123438.0,6.0
